name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Packard South Parking Structure,0,28740179,,yes,parking,,,"POLYGON ((-111.9283389 33.426062, -111.9283215 33.4249817, -111.9285728 33.4249716, -111.928656 33.4249718, -111.9289668 33.4249722, -111.9289648 33.424912, -111.9290969 33.4249048, -111.9290967 33.4249257, -111.9291316 33.4249256, -111.9291396 33.426055, -111.929068 33.4260584, -111.9283389 33.426062))","POINT (-111.92873659467243 33.42550908986321)",,1
Central Plant,1,29215860,,industrial,,,,"POLYGON ((-111.9339569 33.4189178, -111.9334135 33.4189178, -111.9331672 33.4189178, -111.9331672 33.4192689, -111.9339569 33.4192689, -111.9339569 33.4189178))","POINT (-111.93356205 33.41909335)",,1
,2,30407161,,university,,,,"POLYGON ((-111.929265 33.4212346, -111.9295568 33.4212346, -111.9295568 33.4214209, -111.929265 33.4214209, -111.929265 33.4212346))","POINT (-111.9294109 33.42132775)",,1
,3,34609858,,yes,,,,"POLYGON ((-111.9519258 33.4231277, -111.9516693 33.4231299, -111.9516672 33.4229518, -111.9516857 33.4229516, -111.9516848 33.4228705, -111.9516493 33.4228708, -111.9516486 33.4228145, -111.9512099 33.4228182, -111.9512101 33.4228342, -111.9509903 33.4228361, -111.9509876 33.4226068, -111.9513487 33.4226038, -111.9513489 33.4226229, -111.951798 33.4226191, -111.9518701 33.422675, -111.9518708 33.4228421, -111.9518988 33.4228419, -111.9518998 33.4229199, -111.9519233 33.4229197, -111.9519258 33.4231277))","POINT (-111.95152344797155 33.42279555125147)",,1
,4,221570316,,,,pitch,,"POLYGON ((-111.91675 33.4123553, -111.916576 33.4123455, -111.9165949 33.4121103, -111.9167688 33.41212, -111.91675 33.4123553))","POINT (-111.91667242981947 33.412232787443166)",,1
,5,256984985,,,,swimming_pool,,"POLYGON ((-111.9341605 33.4237109, -111.9339676 33.4237109, -111.9339676 33.4236379, -111.9339461 33.4236379, -111.9339461 33.4235094, -111.9341605 33.4235094, -111.9341605 33.4237109))","POINT (-111.9340569360951 33.42360772782156)",,1
,6,257009017,,retail,,,,"POLYGON ((-111.9258234 33.4223393, -111.9256765 33.4224618, -111.9256539 33.4224435, -111.9256097 33.4224768, -111.9254005 33.4224767, -111.9254018 33.4224945, -111.9253212 33.4224972, -111.9253186 33.4225355, -111.9251223 33.422535, -111.9251203 33.4224959, -111.9250831 33.4224981, -111.9250837 33.4225321, -111.9247138 33.4225315, -111.9247256 33.4222588, -111.9250835 33.4222621, -111.9250842 33.422299, -111.9251263 33.4222994, -111.9251253 33.4222564, -111.9253193 33.4222554, -111.925322 33.4222923, -111.9255856 33.4222992, -111.9255834 33.4222603, -111.9258239 33.4222553, -111.9258234 33.4223393))","POINT (-111.9252106762242 33.422387174036785)",,1
,7,344754669,,industrial,,,,"POLYGON ((-111.9119425 33.4262991, -111.911819 33.4263001, -111.9118158 33.4260174, -111.9119392 33.4260164, -111.9119425 33.4262991))","POINT (-111.91187912524884 33.426158269081284)",,1
,8,444109930,,yes,,,,"POLYGON ((-111.9045953 33.4234793, -111.9045942 33.4230618, -111.9040004 33.423063, -111.9040015 33.4234729, -111.9044566 33.423472, -111.9044566 33.4234796, -111.9045953 33.4234793))","POINT (-111.90429882978749 33.4232682519135)",,1
,9,514259541,,,,swimming_pool,,"POLYGON ((-111.9450428 33.4267176, -111.9450407 33.4268781, -111.9450891 33.4268786, -111.9450913 33.4267181, -111.9450428 33.4267176))","POINT (-111.94506597539569 33.42679807239831)",,1
