zone_id,x_coord,y_coord,geometry
19.0,-111.934986,33.425091,POINT (-111.934986 33.425091)
22.0,-111.949609,33.435687,POINT (-111.949609 33.435687)
25.0,-111.896209,33.434993,POINT (-111.896209 33.434993)
54.0,-111.955888,33.437002,POINT (-111.955888 33.437002)
55.0,-111.954122,33.435922,POINT (-111.954122 33.435922)
59.0,-111.891525,33.439541,POINT (-111.891525 33.439541)
61.0,-111.895791,33.435294,POINT (-111.895791 33.435294)
67.0,-111.896237,33.43495,POINT (-111.896237 33.43495)
69.0,-111.956162,33.43624,POINT (-111.956162 33.43624)
72.0,-111.949533,33.43653,POINT (-111.949533 33.43653)
78.0,-111.959806,33.437638,POINT (-111.959806 33.437638)
108.0,-111.893991,33.435145,POINT (-111.893991 33.435145)
110.0,-111.896285,33.435195,POINT (-111.896285 33.435195)
112.0,-111.960312,33.43746,POINT (-111.960312 33.43746)
113.0,-111.949486,33.437884,POINT (-111.949486 33.437884)
114.0,-111.949335,33.437897,POINT (-111.949335 33.437897)
118.0,-111.947335,33.43842,POINT (-111.947335 33.43842)
119.0,-111.942549,33.42914,POINT (-111.942549 33.42914)
147.0,-111.930031,33.436451,POINT (-111.930031 33.436451)
187.0,-111.926299,33.404044,POINT (-111.926299 33.404044)
204.0,-111.917703,33.407174,POINT (-111.917703 33.407174)
220.0,-111.952374,33.4305,POINT (-111.952374 33.4305)
235.0,-111.909128,33.402985,POINT (-111.909128 33.402985)
239.0,-111.92623,33.439089,POINT (-111.92623 33.439089)
273.0,-111.943625,33.438119,POINT (-111.943625 33.438119)
281.0,-111.958805,33.430547,POINT (-111.958805 33.430547)
289.0,-111.947827,33.438964,POINT (-111.947827 33.438964)
443.0,-111.959455,33.430124,POINT (-111.959455 33.430124)
461.0,-111.896206,33.414685,POINT (-111.896206 33.414685)
467.0,-111.894535,33.422061,POINT (-111.894535 33.422061)
495.0,-111.895598,33.407427,POINT (-111.895598 33.407427)
497.0,-111.895048,33.407557,POINT (-111.895048 33.407557)
501.0,-111.954812,33.407403,POINT (-111.954812 33.407403)
601.0,-111.928936,33.421587,POINT (-111.928936 33.421587)
614.0,-111.909577,33.439805,POINT (-111.909577 33.439805)
636.0,-111.934958,33.415072,POINT (-111.934958 33.415072)
639.0,-111.939787,33.405221,POINT (-111.939787 33.405221)
640.0,-111.952163,33.406802,POINT (-111.952163 33.406802)
641.0,-111.952163,33.407927,POINT (-111.952163 33.407927)
642.0,-111.952216,33.421452,POINT (-111.952216 33.421452)
643.0,-111.952222,33.422519,POINT (-111.952222 33.422519)
644.0,-111.917699,33.415184,POINT (-111.917699 33.415184)
645.0,-111.917704,33.421654,POINT (-111.917704 33.421654)
646.0,-111.917682,33.42223,POINT (-111.917682 33.42223)
647.0,-111.917695,33.408003,POINT (-111.917695 33.408003)
648.0,-111.942399,33.422483,POINT (-111.942399 33.422483)
649.0,-111.934905,33.407106,POINT (-111.934905 33.407106)
650.0,-111.934909,33.407991,POINT (-111.934909 33.407991)
651.0,-111.934949,33.414314,POINT (-111.934949 33.414314)
652.0,-111.921164,33.415513,POINT (-111.921164 33.415513)
653.0,-111.925478,33.41958,POINT (-111.925478 33.41958)
654.0,-111.930575,33.415263,POINT (-111.930575 33.415263)
655.0,-111.929059,33.422413,POINT (-111.929059 33.422413)
656.0,-111.939408,33.425507,POINT (-111.939408 33.425507)
658.0,-111.895607,33.429293,POINT (-111.895607 33.429293)
661.0,-111.896536,33.429406,POINT (-111.896536 33.429406)
674.0,-111.92552,33.434078,POINT (-111.92552 33.434078)
675.0,-111.953602,33.42192,POINT (-111.953602 33.42192)
678.0,-111.896977,33.414852,POINT (-111.896977 33.414852)
686.0,-111.926503,33.409755,POINT (-111.926503 33.409755)
689.0,-111.925794,33.410127,POINT (-111.925794 33.410127)
692.0,-111.942702,33.429106,POINT (-111.942702 33.429106)
707.0,-111.920387,33.414944,POINT (-111.920387 33.414944)
710.0,-111.900495,33.421696,POINT (-111.900495 33.421696)
713.0,-111.942096,33.43802,POINT (-111.942096 33.43802)
715.0,-111.92642,33.440236,POINT (-111.92642 33.440236)
716.0,-111.925711,33.434004,POINT (-111.925711 33.434004)
718.0,-111.930664,33.415274,POINT (-111.930664 33.415274)
725.0,-111.925867,33.419704,POINT (-111.925867 33.419704)
